# x, y, theta, v_l, v_r
9.93, 10.53, 1.725, 0.98, 1.37
9.93, 10.54, 1.729, 0.98, 1.37
9.92, 10.55, 1.733, 0.98, 1.37
9.92, 10.57, 1.737, 0.98, 1.37
9.92, 10.58, 1.741, 0.98, 1.37
9.92, 10.59, 1.745, 0.98, 1.37
9.92, 10.60, 1.749, 0.98, 1.37
9.91, 10.61, 1.753, 0.98, 1.37
9.91, 10.62, 1.757, 0.98, 1.37
9.91, 10.64, 1.760, 0.98, 1.37
9.91, 10.65, 1.764, 0.98, 1.37
9.90, 10.66, 1.768, 0.98, 1.37
9.90, 10.67, 1.772, 0.98, 1.37
9.90, 10.68, 1.776, 0.98, 1.37
9.90, 10.69, 1.780, 0.98, 1.37
9.89, 10.70, 1.784, 0.98, 1.37
9.89, 10.72, 1.788, 0.98, 1.37
9.89, 10.73, 1.792, 0.98, 1.37
9.89, 10.74, 1.796, 0.98, 1.37
9.88, 10.75, 1.800, 0.98, 1.37
9.88, 10.76, 1.803, 0.98, 1.37
9.88, 10.77, 1.807, 0.98, 1.37
9.88, 10.78, 1.811, 0.98, 1.37
9.87, 10.80, 1.815, 0.98, 1.37
9.87, 10.81, 1.819, 0.98, 1.37
9.87, 10.82, 1.823, 0.98, 1.37
9.86, 10.83, 1.827, 0.98, 1.37
9.86, 10.84, 1.831, 0.98, 1.37
9.86, 10.85, 1.835, 0.98, 1.37
9.86, 10.86, 1.839, 0.98, 1.37
9.85, 10.87, 1.843, 0.98, 1.37
9.85, 10.89, 1.846, 0.98, 1.37
9.85, 10.90, 1.850, 0.98, 1.37
9.84, 10.91, 1.854, 0.98, 1.37
9.84, 10.92, 1.858, 0.98, 1.37
9.84, 10.93, 1.862, 0.98, 1.37
9.83, 10.94, 1.866, 0.98, 1.37
9.83, 10.95, 1.870, 0.98, 1.37
9.83, 10.96, 1.874, 0.98, 1.37
9.82, 10.98, 1.878, 0.98, 1.37
9.82, 10.99, 1.882, 0.98, 1.37
9.82, 11.00, 1.886, 0.98, 1.37
9.81, 11.01, 1.889, 0.98, 1.37
9.81, 11.02, 1.893, 0.98, 1.37
9.80, 11.03, 1.897, 0.98, 1.37
9.80, 11.04, 1.901, 0.98, 1.37
9.80, 11.05, 1.905, 0.98, 1.37
9.79, 11.06, 1.909, 0.98, 1.37
9.79, 11.08, 1.913, 0.98, 1.37
9.78, 11.09, 1.917, 0.98, 1.37
9.78, 11.10, 1.921, 0.98, 1.37
9.78, 11.11, 1.925, 0.98, 1.37
9.77, 11.12, 1.929, 0.98, 1.37
9.77, 11.13, 1.932, 0.98, 1.37
9.76, 11.14, 1.936, 0.98, 1.37
9.76, 11.15, 1.940, 0.98, 1.37
9.76, 11.16, 1.944, 0.98, 1.37
9.75, 11.17, 1.948, 0.98, 1.37
9.75, 11.19, 1.952, 0.98, 1.37
9.74, 11.20, 1.956, 0.98, 1.37
9.74, 11.21, 1.960, 0.98, 1.37
9.73, 11.22, 1.964, 0.98, 1.37
9.73, 11.23, 1.968, 0.98, 1.37
9.72, 11.24, 1.972, 0.98, 1.37
9.72, 11.25, 1.975, 0.98, 1.37
9.72, 11.26, 1.979, 0.98, 1.37
9.71, 11.27, 1.983, 0.98, 1.37
9.71, 11.28, 1.987, 0.98, 1.37
9.70, 11.29, 1.991, 0.98, 1.37
9.70, 11.30, 1.995, 0.98, 1.37
9.69, 11.31, 1.999, 0.98, 1.37
9.69, 11.33, 2.003, 0.98, 1.37
9.68, 11.34, 2.007, 0.98, 1.37
9.68, 11.35, 2.011, 0.98, 1.37
9.67, 11.36, 2.015, 0.98, 1.37
9.67, 11.37, 2.018, 0.98, 1.37
9.66, 11.38, 2.022, 0.98, 1.37
9.66, 11.39, 2.026, 0.98, 1.37
9.65, 11.40, 2.030, 0.98, 1.37
9.65, 11.41, 2.034, 0.98, 1.37
9.64, 11.42, 2.038, 0.98, 1.37
9.64, 11.43, 2.042, 0.98, 1.37
9.63, 11.44, 2.046, 0.98, 1.37
9.62, 11.45, 2.050, 0.98, 1.37
9.62, 11.46, 2.054, 0.98, 1.37
9.61, 11.47, 2.058, 0.98, 1.37
9.61, 11.48, 2.062, 0.98, 1.37
9.60, 11.49, 2.065, 0.98, 1.37
9.60, 11.50, 2.069, 0.98, 1.37
9.60, 11.03, 1.063, 0.98, -99.61
9.20, 11.12, 0.058, 0.98, -99.61
8.77, 11.68, -0.948, 0.98, -99.61
8.71, 12.20, -1.954, 0.98, -99.61
9.08, 12.19, -2.960, 0.98, -99.61
9.53, 11.66, 2.317, 0.98, -99.61
9.64, 11.11, 1.311, 0.98, -99.61
9.31, 11.04, 0.306, 0.98, -99.61
8.85, 11.52, -0.700, 0.98, -99.61
8.68, 12.11, -1.706, 0.98, -99.61
8.96, 12.25, -2.712, 0.98, -99.61
9.43, 11.82, 2.565, 0.98, -99.61
9.66, 11.21, 1.559, 0.98, -99.61
9.42, 11.00, 0.554, 0.98, -99.61
8.95, 11.37, -0.452, 0.98, -99.61
8.68, 11.99, -1.458, 0.98, -99.61
8.86, 12.27, -2.464, 0.98, -99.61
9.32, 11.96, 2.813, 0.98, -99.61
9.64, 11.34, 1.807, 0.98, -99.61
9.52, 10.99, 0.802, 0.98, -99.61
9.07, 11.24, -0.204, 0.98, -99.61
8.71, 11.85, -1.210, 0.98, -99.61
8.78, 12.26, -2.216, 0.98, -99.61
9.21, 12.09, 3.061, 0.98, -99.61
9.60, 11.49, 2.055, 0.98, -99.61
9.59, 11.03, 1.050, 0.98, -99.61
9.19, 11.12, 0.044, 0.98, -99.61
8.76, 11.69, -0.962, 0.98, -99.61
8.71, 12.20, -1.968, 0.98, -99.61
9.08, 12.18, -2.974, 0.98, -99.61
9.53, 11.65, 2.303, 0.98, -99.61
9.64, 11.10, 1.298, 0.98, -99.61
9.31, 11.04, 0.292, 0.98, -99.61
8.85, 11.53, -0.714, 0.98, -99.61
8.68, 12.11, -1.720, 0.98, -99.61
8.97, 12.25, -2.726, 0.98, -99.61
9.44, 11.81, 2.551, 0.98, -99.61
9.66, 11.21, 1.546, 0.98, -99.61
9.42, 11.00, 0.540, 0.98, -99.61
8.95, 11.38, -0.466, 0.98, -99.61
8.68, 12.00, -1.472, 0.98, -99.61
8.86, 12.27, -2.478, 0.98, -99.61
9.33, 11.96, 2.799, 0.98, -99.61
9.64, 11.34, 1.794, 0.98, -99.61
9.51, 10.99, 0.788, 0.98, -99.61
9.06, 11.25, -0.228, 1.96, -99.61
8.72, 11.85, -1.244, 1.96, -99.61
8.80, 12.24, -2.259, 1.96, -99.61
9.24, 12.04, 3.008, 1.96, -99.61
9.61, 11.45, 1.993, 1.96, -99.61
9.57, 11.01, 0.977, 1.96, -99.61
9.16, 11.16, -0.039, 1.96, -99.61
8.76, 11.74, -1.054, 1.96, -99.61
8.75, 12.21, -2.070, 1.96, -99.61
9.15, 12.12, -3.086, 1.96, -99.61
9.57, 11.56, 2.182, 1.96, -99.61
9.62, 11.06, 1.166, 1.96, -99.61
9.25, 11.08, 0.151, 1.96, -99.61
8.81, 11.62, -0.865, 1.96, -99.61
